name,ngas,vdisp
Aquarius II,0.1,5.4
Boötes I,0.1,2.4
Boötes II,0.1,7.4
Canes Venatici I,0.1,7.6
Canes Venatici II,0.1,4.6
Carina I,0.5,6.6
Carina II,0.1,3.4
Carina III,0.1,5.6
Coma Berenices I,0.1,4.6
Crater I,0.1,
Crater II,0.1,2.7
Draco I,0.5,9.1
Draco II,0.1,2.9
Eridanus II,0.1,6.9
Fornax I,0.5,11.7
Grus I,0.1,2.9
Hercules I,0.1,3.7
Horologium I,0.1,5.0
Hydra II,0.1,3.6
Hydrus I,0.1,2.7
Leo I,0.5,9.2
Leo II,0.5,6.6
Leo IV,0.1,3.3
Leo V,0.1,3.7
Phoenix I,0.1,
Pisces II,0.1,5.4
Reticulum II,0.1,3.4
Sagittarius I,0.5,11.4
Sculptor I,0.5,9.2
Segue 1,0.1,3.9
Segue 2,0.1,3.4
Sextans I,0.5,7.9
Triangulum II,0.1,3.4
Tucana II,0.1,8.5
Tucana III,0.1,0.9
Ursa Major I,0.1,7.6
Ursa Major II,0.1,6.7
Ursa Minor I,0.5,9.5
Willman 1,0.1,4.3
